Character 1,Character Label 1,Dependency Relation 1,Verb,Dependency Relation 2,Character Label 2,Character 2
women,Hero,subject,play,advcl,Hero,Security Council  resolution 1325 (2000)
Iceland,Hero,subject,has supported,object,Victim,women
The Icelandic Government,Hero,subject,has been financing,object,Hero,a gender expert at the  United Nations Development Fund for Women  (UNIFEM) office in Kosovo
We,Hero,subject,support,object,Hero,Special Representative Patten
we,Hero,subject,are turning,oblique,Hero,partners
The Alliance,Hero,subject,has,object,Hero,gender advisers
I,Hero,subject,work,oblique,Hero,these dedicated people
NATO,Hero,subject,works,oblique,Hero,other  international organizations maintaining international  peace and security
we,Hero,subject,face up,advcl,Hero,we
we,Hero,subject,work,oblique,Hero,partners  and other members of the international community
Germany,Hero,subject,supports,object,Hero,the Ministry of  Women's and Veteran's Affairs
I,Hero,subject,echo,object,Hero,the presidency  of the European Union
Women,Hero,subject,serve,oblique,Hero,their male  counterparts
we,Villain,subject,excluding,object,Victim,women
women,Hero,subject,have begun,advcl,Victim,they
the Deputy Secretary-General,Hero,subject,said,advcl,Villain,Daesh
The Taliban and other  anti-Government elements,Villain,subject,launch,oblique,Victim,"women  from all spectrums of society, from schoolgirls to  female leaders, including women police officers, human  rights defenders, media personnel and politicians"
We,Hero,subject,appreciate,object,Hero,the Government of Finland's
Austria,Hero,subject,believes,ccomp,Victim,women
Austria,Hero,subject,believes,ccomp,Hero,women
the Organization for Security and  Cooperation in Europe,Hero,subject,has achieved,object,Hero,women
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,is appreciated,oblique,Hero,Ms.  Angela King
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,encourage,oblique,Hero,Ms.  Angela King
me,Hero,subject,acknowledge,object,Hero,an interim Gender  Adviser in the Department of Peacekeeping  Operations
the  liberation movements,Hero,subject,have paved,oblique,Hero,women
many of these countries,Victim,subject,have paved,oblique,Hero,women
"My country, Tanzania,",Hero,subject,is working,oblique,Hero,the  Office of the United Nations High Commissioner for  Refugees
the  gender desk at Rwanda Defence Headquarters,Hero,subject,devises,oblique,Hero,UNIFEM
Belgium,Hero,subject,calls,oblique,Hero,women
We,Hero,subject,provided,oblique,Hero,military judges
Belgium,Hero,subject,attributes,object,Victim,that country
Syrian armed  forces and security personnel,Villain,subject,have used,oblique,Victim,detainees in various detention centers of the  intelligence and political security services
women,Hero,subject,must be involved,conj,Victim,they
women,Hero,subject,must be involved,conj,Hero,they
women,Victim,subject,must be involved,conj,Victim,they
women,Victim,subject,must be involved,conj,Hero,they
The Human Security Network,Hero,subject,emphasizes,object,Hero,women
We,Hero,subject,encourage,object,Hero,women protection advisers
we,Hero,subject,underscore,object,Hero,the  Office of the Special Representative
the Secretary-General,Hero,subject,details,object,Hero,the United Nations system
UNODC,Hero,subject,enhance,object,Victim,trafficking victims  among refugees and displaced persons fleeing conflict  in the Middle East and Africa
The Fiji  peacekeeping deployment to Iraq,Hero,subject,will include,object,Hero,six  women
We,Hero,subject,agree,oblique,Hero,the Secretary-General
The Government,Hero,subject,is addressing,oblique,Hero,its Ministry for Women
The Government,Hero,subject,is addressing,oblique,Hero,the UNIFEM-  sponsored Women and Peace and Security Committee
boys,Victim,subject,were turned,obl:agent,Villain,illegal armed  groups
the victims of sexual  violence,Victim,subject,have,oblique,Villain,far too many countries
child protection workers,Hero,subject,have attested,oblique,Victim,boys
child protection workers,Hero,subject,have attested,oblique,Villain,Ansar Al-Sharia
the  Government,Hero,subject,has supported,object,Hero,women police
UN Women,Hero,subject,will grow,oblique,Victim,women
UN Women,Hero,subject,will grow,oblique,Hero,women
women,Hero,subject,are recognized,advcl,Victim,they
Croatia,Hero,subject,will continue,oblique,Hero,its first female Prime Minister
Croatia,Hero,subject,give,oblique,Hero,its first female Prime Minister
"our then Permanent Representative in New York,  Ambassador Fritsche",Hero,subject,headed,object,Hero,a group of like-minded  ambassadors
girls and  women in affected regions,Victim,subject,associate,advcl,Hero,women participating in peacekeeping and police forces
girls and  women in affected regions,Victim,subject,associate,advcl,Victim,victims
women participating in peacekeeping and police forces,Hero,subject,will enhance,object,Victim,victims
They,Villain,subject,undermine,object,Victim,the Organization
I,Hero,subject,pay,oblique,Victim,internally displaced women and girls
I,Hero,subject,dedicated,oblique,Victim,internally displaced women
we,Victim,subject,may be raped,advcl,Victim,they
Many IDPs,Victim,subject,had found,oblique,Victim,girls who had been impregnated  during displacement and could not go back to their  communities as a result
Many of them,Hero,subject,help,object,Victim,other displaced persons
We,Hero,subject,have,object,Hero,the United  Nations Office on Drugs and Crime
resolution 1325  (2000),Hero,subject,has contributed,oblique,Hero,"resolutions 1820  (2008), 1888 (2009) and 1889 (2009)"
Senegal,Hero,subject,ensure,object,Hero,women
we,Hero,subject,implement,object,Victim,the  women of Afghanistan
Our international partners,Hero,subject,have assisted,object,Hero,the  Afghan Government
UN-Women,Hero,subject,has administered,oblique,Victim,women
Afghanistan,Hero,subject,has submitted,oblique,Hero,UN-Women
We,Hero,subject,are focusing,oblique,Hero,women political actors
we,Hero,subject,will continue,oblique,Hero,our partners  and the international community
we,Hero,subject,work,oblique,Hero,our partners  and the international community
the Ukrainian army,Villain,subject,provoke,object,Villain,Kyiv
We,Hero,subject,understand,object,Victim,women
my Special Envoy,Hero,subject,established,object,Hero,a  Yemeni women's technical advisory group
They,Hero,subject,led,conj,Hero,they
we,Hero,subject,are moving,oblique,Hero,women in the military and the police components of  our operations
I,Hero,subject,have appointed,object,Hero,many more women
my country,Hero,subject,announced,object,Hero,"an independent regional centre, a  think-tank"
Switzerland,Hero,subject,has supported,oblique,Hero,our partners from Liechtenstein
Switzerland,Hero,subject,has supported,object,Hero,"the NGO Working Group  on Women, Peace and Security, PeaceWomen and the  Global Network of Women Peacebuilders"
the  international community,Hero,subject,give,object,Victim,the Government of  Burundi
Chile,Hero,subject,co-sponsored,conj,Hero,"the  Women, Peace and Security National Focal Points  Network"
Resolution 1325 (2000),Hero,subject,acknowledged,ccomp,Victim,women
Resolution 1325 (2000),Hero,subject,acknowledged,ccomp,Hero,women
The international community,Hero,subject,attaches,object,Hero,women
the  Department of Peacekeeping Operations,Hero,subject,has mandated,ccomp,Victim,women
world leaders,Hero,subject,stressed,object,Hero,women
women,Hero,subject,will be reflected,advcl,Hero,they
women,Hero,subject,will be reflected,advcl,Victim,they
women,Victim,subject,will be reflected,advcl,Hero,they
women,Victim,subject,will be reflected,advcl,Victim,they
the Security Council,Hero,subject,has reaffirmed,object,Victim,women in armed conflict
Estonia,Hero,subject,agrees,oblique,Hero,the Council
women and girls,Victim,subject,has been strengthened,oblique,Hero,"the International Criminal Court (ICC),  the ad hoc and mixed tribunals, and the specialized  chambers in national tribunals"
victims of atrocity crimes,Victim,subject,entails,object,Villain,perpetrators
Estonia,Hero,subject,has made,oblique,Hero,the Team
two Senate committees,Hero,subject,are working,advcl,Hero,We
We,Hero,subject,deploy,object,Hero,women police
we,Hero,subject,want,advcl,Hero,women in our military  contingents
Norway,Hero,subject,started,oblique,Hero,key partners
Norway,Hero,subject,develop,oblique,Hero,key partners
We,Hero,subject,call,oblique,Villain,"the  United Nations system and upon ourselves, the  Member States"
The Centre,Hero,subject,cooperates,oblique,Hero,"international and other European training centres, such    as the Kofi Annan International Peacekeeping Training  Centre in Ghana"
We,Hero,subject,welcome,object,Hero,the Chief Prosecutor of the International  Criminal Court
We,Hero,subject,welcome,object,Hero,Justice Rapid  Response and UN-Women
We,Hero,subject,support,object,Hero,the Chief Prosecutor of the International  Criminal Court
We,Hero,subject,support,object,Hero,Justice Rapid  Response and UN-Women
Equatorial  Guinea,Hero,subject,has applauded,object,Hero,the two organizations in Africa
My Government,Hero,subject,attaches,object,Victim,women and girls
we,Hero,subject,support,object,Hero,Minister Wallstrom of Sweden and  Minister Brandt of the Netherlands
"men,  women and children",Victim,subject,are abused,obl:agent,Villain,the Blue Helmets
The resolution,Hero,subject,signals,object,Hero,the United  Nations
The resolution adopted today,Hero,subject,endorses,object,Hero,the Secretary-General
They,Victim,subject,see,object,Hero,a peacekeeper
They,Victim,subject,see,object,Villain,a peacekeeper
we,Hero,subject,pledge,oblique,Victim,the  victims of sexual exploitation and abuse by United  Nations peacekeepers
we,Hero,subject,pledge,oblique,Villain,United  Nations peacekeepers
the Blue Helmets we  send as their protectors,Hero,subject,will not become,xcomp,Villain,perpetrators
victims of violence,Victim,subject,continues,xcomp,Hero,SADC
We,Hero,subject,condemn,object,Villain,all those parties that perpetuate acts of  violence and abuse against women and children
we,Hero,subject,underscore,object,Hero,national and local women's groups
women,Hero,subject,produces,advcl,Victim,"they, together with children"
the Security Council,Villain,subject,address,object,Victim,women and  girls
Egypt,Hero,subject,accords,object,Victim,women
Egypt,Hero,subject,accords,object,Hero,women
they,Hero,subject,took,advcl,Hero,women
they,Victim,subject,took,advcl,Hero,women
An ancient Chinese philosopher,Hero,subject,captured,object,Hero,women
Japan,Hero,subject,has sent,object,Hero,an expert
the Japanese Government,Hero,subject,dispatched,object,Hero,seven women  peacekeepers
The  Government of Japan,Hero,subject,increase,object,Hero,women
the Japanese Government,Hero,subject,supported,object,Hero,the Special  Committee on Peacekeeping Operations
we,Hero,subject,urge,object,Hero,the Secretary-General
we,Hero,subject,continue,object,Hero,the Secretary-General
Indonesia,Hero,subject,condemns,oblique,Victim,women and  girls in armed conflicts
We,Hero,subject,reaffirm,object,Hero,resolution 1325  (2000)
Women,Victim,subject,be represented,oblique,Hero,resolution 1325 (2000)
Women,Hero,subject,be represented,oblique,Hero,resolution 1325 (2000)
we,Hero,subject,have built,object,Victim,women and children
we,Hero,subject,have,object,Hero,a senior  Australian policewoman
Grass-roots women's organizations,Hero,subject,have sponsored,parataxis,Hero,groups advocating peace across party and ethnic lines
Grass-roots women's organizations,Hero,subject,have sponsored,parataxis,Hero,the  Organization of African Unity (OAU) African  Women's Committee on peace and development
these  bodies and the international community's,Hero,subject,has changed,object,Victim,"many, both young and old"
The United States,Hero,subject,applauds,object,Hero,these women
We,Hero,subject,bring,object,Hero,such candidates
gender advisors,Hero,subject,should draw,oblique,Hero,women's community groups
The United States,Hero,subject,has provided,object,Hero,the Office of the United Nations  High Commissioner for Refugees
the United States,Hero,subject,has supported,object,Hero,the Rwanda Women's Initiative
The  Department of State,Hero,subject,has provided,object,Hero,the  Women's Commission for Refugee Women and  Children
Those programmes,Hero,subject,not provide,object,Victim,women in war-torn areas
they,Hero,subject,integrate,object,Victim,them
My delegation,Hero,subject,supports,object,Hero,the Team  of Experts on the Rule of Law and Sexual Violence in  Conflict
My  delegation,Hero,subject,supports,object,Hero,"the Standing  Committee on Women, Peace and Security"
they,Victim,subject,can rebuild,advcl,Victim,survivors of sexual violence
I,Hero,subject,emphasize,object,Hero,civil society
